cod_departamento,departamento,valor,VB_ACU,cod_municipio,municipio,clase
"13","BOLIVAR","857","Si cuenta con el servicio","13655","SAN JACINTO DEL CAUCA","Total",
"13","BOLIVAR","1375","No cuenta con el servicio","13655","SAN JACINTO DEL CAUCA","Total",
"13","BOLIVAR","4309","Si cuenta con el servicio","13657","SAN JUAN NEPOMUCENO","Cabecera municipal",
"13","BOLIVAR","2333","No cuenta con el servicio","13657","SAN JUAN NEPOMUCENO","Cabecera municipal",
"13","BOLIVAR","499","Si cuenta con el servicio","13657","SAN JUAN NEPOMUCENO","Centros poblados",
"13","BOLIVAR","1297","No cuenta con el servicio","13657","SAN JUAN NEPOMUCENO","Centros poblados",
"13","BOLIVAR","11","Si cuenta con el servicio","13657","SAN JUAN NEPOMUCENO","Rural disperso",
"13","BOLIVAR","623","No cuenta con el servicio","13657","SAN JUAN NEPOMUCENO","Rural disperso",
"13","BOLIVAR","4819","Si cuenta con el servicio","13657","SAN JUAN NEPOMUCENO","Total",
"13","BOLIVAR","4253","No cuenta con el servicio","13657","SAN JUAN NEPOMUCENO","Total",
"13","BOLIVAR","1466","Si cuenta con el servicio","13667","SAN MARTIN DE LOBA","Cabecera municipal",
"13","BOLIVAR","228","No cuenta con el servicio","13667","SAN MARTIN DE LOBA","Cabecera municipal",
"13","BOLIVAR","599","Si cuenta con el servicio","13667","SAN MARTIN DE LOBA","Centros poblados",
"13","BOLIVAR","478","No cuenta con el servicio","13667","SAN MARTIN DE LOBA","Centros poblados",
"13","BOLIVAR","25","Si cuenta con el servicio","13667","SAN MARTIN DE LOBA","Rural disperso",
"13","BOLIVAR","741","No cuenta con el servicio","13667","SAN MARTIN DE LOBA","Rural disperso",
"13","BOLIVAR","2090","Si cuenta con el servicio","13667","SAN MARTIN DE LOBA","Total",
"13","BOLIVAR","1447","No cuenta con el servicio","13667","SAN MARTIN DE LOBA","Total",
"13","BOLIVAR","4683","Si cuenta con el servicio","13670","SAN PABLO","Cabecera municipal",
"13","BOLIVAR","483","No cuenta con el servicio","13670","SAN PABLO","Cabecera municipal",
"13","BOLIVAR","321","Si cuenta con el servicio","13670","SAN PABLO","Centros poblados",
"13","BOLIVAR","371","No cuenta con el servicio","13670","SAN PABLO","Centros poblados",
"13","BOLIVAR","174","Si cuenta con el servicio","13670","SAN PABLO","Rural disperso",
"13","BOLIVAR","859","No cuenta con el servicio","13670","SAN PABLO","Rural disperso",
"13","BOLIVAR","5178","Si cuenta con el servicio","13670","SAN PABLO","Total",
"13","BOLIVAR","1713","No cuenta con el servicio","13670","SAN PABLO","Total",
"13","BOLIVAR","81","Si cuenta con el servicio","13673","SANTA CATALINA","Cabecera municipal",
"13","BOLIVAR","1316","No cuenta con el servicio","13673","SANTA CATALINA","Cabecera municipal",
"13","BOLIVAR","12","Si cuenta con el servicio","13673","SANTA CATALINA","Centros poblados",
"13","BOLIVAR","1974","No cuenta con el servicio","13673","SANTA CATALINA","Centros poblados",
"13","BOLIVAR","7","Si cuenta con el servicio","13673","SANTA CATALINA","Rural disperso",
"13","BOLIVAR","206","No cuenta con el servicio","13673","SANTA CATALINA","Rural disperso",
"13","BOLIVAR","100","Si cuenta con el servicio","13673","SANTA CATALINA","Total",
"13","BOLIVAR","3496","No cuenta con el servicio","13673","SANTA CATALINA","Total",
"13","BOLIVAR","1514","Si cuenta con el servicio","13683","SANTA ROSA","Cabecera municipal",
"13","BOLIVAR","2797","No cuenta con el servicio","13683","SANTA ROSA","Cabecera municipal",
"13","BOLIVAR","42","Si cuenta con el servicio","13683","SANTA ROSA","Rural disperso",
"13","BOLIVAR","363","No cuenta con el servicio","13683","SANTA ROSA","Rural disperso",
"13","BOLIVAR","1556","Si cuenta con el servicio","13683","SANTA ROSA","Total",
"13","BOLIVAR","3160","No cuenta con el servicio","13683","SANTA ROSA","Total",
"13","BOLIVAR","4071","Si cuenta con el servicio","13688","SANTA ROSA DEL SUR","Cabecera municipal",
"13","BOLIVAR","26","No cuenta con el servicio","13688","SANTA ROSA DEL SUR","Cabecera municipal",
"13","BOLIVAR","763","Si cuenta con el servicio","13688","SANTA ROSA DEL SUR","Centros poblados",
"13","BOLIVAR","39","No cuenta con el servicio","13688","SANTA ROSA DEL SUR","Centros poblados",
"13","BOLIVAR","281","Si cuenta con el servicio","13688","SANTA ROSA DEL SUR","Rural disperso",
"13","BOLIVAR","2162","No cuenta con el servicio","13688","SANTA ROSA DEL SUR","Rural disperso",
"13","BOLIVAR","5115","Si cuenta con el servicio","13688","SANTA ROSA DEL SUR","Total",
"13","BOLIVAR","2227","No cuenta con el servicio","13688","SANTA ROSA DEL SUR","Total",
"13","BOLIVAR","1505","Si cuenta con el servicio","13744","SIMITI","Cabecera municipal",
"13","BOLIVAR","80","No cuenta con el servicio","13744","SIMITI","Cabecera municipal",
"13","BOLIVAR","1052","Si cuenta con el servicio","13744","SIMITI","Centros poblados",
"13","BOLIVAR","406","No cuenta con el servicio","13744","SIMITI","Centros poblados",
"13","BOLIVAR","151","Si cuenta con el servicio","13744","SIMITI","Rural disperso",
